Session,Exp,Set
356_FED_20160202c_3T2_PL2017,langlocSN,Language
357_FED_20160205m_3T2_PL2017,langlocSN,Language
358_FED_20160208m_3T2_PL2017,langlocSN,Language
359_FED_20160209m_3T2_PL2017,langlocSN,Language
360_FED_20160211a_3T2_PL2017,langlocSN,Language
361_FED_20160211b_3T2_PL2017,langlocSN,Language
362_FED_20160212m_3T1_PL2017,langlocSN,Language
363_FED_20160222b_3T2_PL2017,langlocSN,Language
364_FED_20160229a_3T1_PL2017,langlocSN,Language
365_FED_20170120a_3T2_PL2017,langlocSN,Language
365_FED_20160229c_3T1_PL2017,langlocSN,Language
366_FED_20170922b_3T2_PL2017,langlocSN,Language
366_FED_20160229d_3T1_PL2017,langlocSN,Language
366_FED_20161103a_3T1_PL2017,langlocSN,Language
367_FED_20160309b_3T1_PL2017,langlocSN,Language
368_FED_20160310b_3T1_PL2017,langlocSN,Language
369_FED_20160317b_3T1_PL2017,langlocSN,Language
370_FED_20160317c_3T1_PL2017,langlocSN,Language
371_FED_20160318a_3T1_PL2017,langlocSN,Language
372_FED_20160318b_3T1_PL2017,langlocSN,Language
373_FED_20160318c_3T1_PL2017,langlocSN,Language
375_FED_20160331d_3T1_PL2017,langlocSN,Language
376_FED_20160401b_3T2_PL2017,langlocSN,Language
378_FED_20160405a_3T1_PL2017,langlocSN,Language
379_FED_20160407a_3T1_PL2017,langlocSN,Language
380_FED_20160407b_3T1_PL2017,langlocSN,Language
381_FED_20160407c_3T1_PL2017,langlocSN,Language
382_FED_20160407a_3T2_PL2017,langlocSN,Language
383_POLY04_20160420_3T1_PL2017,langlocSN,Language
383_FED_20160505a_3T1_PL2017,langlocSN,Language
384_FED_20160421a_3T2_PL2017,langlocSN,Language
385_POLY03_20160421_3T2_PL2017,langlocSN,Language
386_FED_20160425d_3T1_PL2017,langlocSN,Language
387_FED_20160425a_3T1_PL2017,langlocSN,Language
388_FED_20160426b_3T1_PL2017,langlocSN,Language
389_POLY02_20160425_3T1_PL2017,langlocSN,Language
390_FED_20160428a_3T1_PL2017,langlocSN,Language
391_FED_20160429a_3T2_PL2017,langlocSN,Language
392_FED_20160504a_3T1_PL2017,langlocSN,Language
393_FED_20160504b_3T2_PL2017,langlocSN,Language
394_POLY08_20160505_3T1_PL2017,langlocSN,Language
395_FED_20160506a_3T2_PL2017,langlocSN,Language
396_POLY09_20160512_3T1_PL2017,langlocSN,Language
397_FED_20160516a_3T1_PL2017,langlocSN,Language
398_FED_20160516b_3T1_PL2017,langlocSN,Language
399_FED_20160519d_3T1_PL2017,langlocSN,Language
400_FED_20160520a_3T1_PL2017,langlocSN,Language
401_FED_20160520d_3T1_PL2017,langlocSN,Language
402_FED_20160526c_3T1_PL2017,langlocSN,Language
403_FED_20160526b_3T1_PL2017,langlocSN,Language
404_FED_20160527a_3T2_PL2017,langlocSN,Language
405_FED_20160531a_3T1_PL2017,langlocSN,Language
406_FED_20160601a_3T1_PL2017,langlocSN,Language
407_FED_20160616a_3T2_PL2017,langlocSN,Language
408_FED_20160617a_3T2_PL2017,langlocSN,Language
409_FED_20160622a_3T1_PL2017,langlocSN,Language
409_FED_20160728a_3T2_PL2017,langlocSN,Language
